well_id,layer_group,y_coordinate,x_coordinate,mean_perforation_depth
W0075,L19,239286.409,119398.6275,810.623
W0076,L19,239291.0231,118937.9959,807.5225
W0077,L19,240308.2608,118997.4862,770.5505
W0078,L19,240967.917,120113.6512,780.1445
W0079,L19,240902.948,120620.64,781.958
W0080,L19,239511.2484,119354.0369,759.6695
W0081,L18,240059.5916,119883.3131,674.6105
W0082,L18,240304.9017,119896.2961,712.928
W0083,L18,240323.5256,120708.2959,713.4545
W0084,L19,239590.1138,119171.3973,816.122
W0085,L18,240088.1295,120860.0108,680.87
W0086,L18,239482.4577,119648.823,711.2315
W0087,L19,239989.8132,120007.3919,813.899
W0088,L19,240419.3807,120758.8984,757.0955
W0089,L19,239389.0433,118973.1934,750.134
W0090,L04,241572.0525,119890.7988,1080.308
W0091,L04,240452.1534,119954.1219,1055.972
W0091,L03,240452.1534,119954.1219,1055.972
W0092,L02,239809.7404,120592.1023,792.137
W0092,L18,239809.7404,120592.1023,792.137
W0093,L02,239394.7254,119775.6626,934.526
W0094,L02,239341.2304,120297.5454,932.888
W0095,L03,240392.8054,120893.1191,948.683
W0096,L03,240391.2668,120902.5426,1014.9635
W0097,L03,240314.8391,121551.0178,984.8945
W0098,L03,240305.536,121549.6389,1023.2705
W0099,L03,240221.0644,122064.3121,983.3735
W0100,L03,240186.1614,122098.2514,965.3555
W0100,L01,240186.1614,122098.2514,965.3555
W0101,L03,239977.6383,118697.3162,912.1205
W0102,L04,240305.2463,120532.497,1094.816
W0103,L03,239985.6883,118692.8779,967.1105
W0103,L02,239985.6883,118692.8779,967.1105
W0104,L03,239567.0359,119101.8896,965.4725
W0105,L03,239023.1479,120402.5079,968.456
W0106,L03,239511.8962,119780.2765,932.069
W0107,L03,239521.836,119780.1739,950.087
W0107,L02,239521.836,119780.1739,950.087
W0108,L03,239658.4361,120546.3457,962.255
W0109,L03,239648.8506,120543.9275,850.286
W0109,L18,239648.8506,120543.9275,850.286
W0110,L03,239805.3759,120854.3329,969.275
W0111,L03,239806.0178,120863.9914,1010.5175
W0112,L03,240061.8587,120282.789,1007.2415
W0113,L04,240163.2274,121995.2032,1010.6345
W0113,L02,240163.2274,121995.2032,1010.6345
W0114,L01,239823.3568,119947.5097,882.344
W0115,L01,239655.2595,118909.5687,834.9005
W0116,L01,239656.7034,118920.1255,870.41
W0117,L01,239438.7463,120559.8846,887.843
W0118,L01,239136.3198,119253.788,871.0535
W0119,L01,239052.8351,120511.3608,868.8305
W0120,L01,240117.4347,119972.702,860.0555
W0121,L01,240448.162,120283.8118,828.5825
W0122,L04,240077.6116,120033.0126,1041.815
W0123,L04,239717.0975,120740.673,1045.6175
W0124,L02,240388.7423,123164.1742,986.5325
W0124,L01,240388.7423,123164.1742,986.5325
W0125,L04,240666.3787,120317.3364,1092.359
W0126,L04,240349.1428,120988.8785,1090.955
W0127,L04,239945.0894,120543.0748,1084.169
W0128,L04,239593.2303,119495.7311,1116.9875
W0129,L04,239910.6779,119930.2914,1112.6
W0130,L04,239849.4981,120573.412,1120.8485
W0131,L04,239841.5685,119318.4867,1117.5725
W0132,L04,240009.9104,118773.0431,1122.3695
W0133,L04,240367.1908,119556.7338,1119.6785
W0134,L04,240309.2714,121380.29,1125.4115
W0135,L02,240740.2003,120080.1482,946.928
W0136,L03,240315.0102,120428.4745,964.8875
W0136,L02,240315.0102,120428.4745,964.8875
W0137,L03,240325.2206,120433.0514,974.0135
W0138,L03,240292.5645,121139.4473,1020.2285
W0139,L03,240292.2273,121149.4681,949.5605
W0140,L03,240063.5096,120666.3262,1011.2195
W0141,L03,240059.8359,120695.5147,895.682
W0141,L19,240059.8359,120695.5147,895.682
W0142,L03,239941.3511,121512.6658,966.818
W0142,L02,239941.3511,121512.6658,966.818
W0143,L03,239946.7973,121524.2135,976.763
W0144,L03,239329.5898,119416.5495,984.251
W0145,L03,239355.3555,119427.8111,921.9485
W0146,L03,239358.8699,117919.2192,1039.7675
W0147,L03,239824.4936,121910.2522,1021.2815
W0148,L03,239796.2465,121898.3563,989.633
W0149,L03,239563.2904,121336.6438,968.2805
W0149,L02,239563.2904,121336.6438,968.2805
W0150,L03,239578.8157,121365.3886,942.3065
W0150,L01,239578.8157,121365.3886,942.3065
W0151,L02,240747.1647,118840.1692,951.14
W0152,L02,240372.7933,118544.9185,947.981
W0153,L02,240336.2562,118916.1624,941.6045
W0154,L02,239958.235,118422.8195,938.387
W0155,L02,239586.6871,118349.323,928.9685
W0156,L02,239549.4085,118843.2089,924.4055
W0157,L04,239302.1159,118644.1499,1027.892
W0157,L03,239302.1159,118644.1499,1027.892
W0158,L02,240270.1834,119861.8549,934.643
W0159,L02,240574.9069,120470.7845,943.3595
W0160,L02,240475.2451,120866.4318,941.663
W0161,L02,240305.3919,121248.3585,941.3705
W0162,L02,239955.9373,121629.893,944.12
W0163,L02,240007.4405,121974.7369,947.1035
W0164,L02,239616.757,121198.5621,935.696
W0165,L02,239603.0077,120762.9122,932.888
W0166,L02,239216.4017,120593.3296,937.3925
W0167,L02,239081.0922,120007.9953,869.357
W0167,L19,239081.0922,120007.9953,869.357
W0168,L04,239220.7537,119224.5962,1074.224
W0169,L02,239147.7489,119389.9224,930.782
W0170,L03,239399.5078,120956.9547,966.0575
W0171,L03,239501.5121,118413.2566,978.05
W0172,L03,239611.3593,118407.4871,1011.863
W0173,L03,240283.6435,118901.8418,974.9495
W0174,L03,240533.8074,119343.6549,1010.7515
W0175,L03,239086.4484,119962.2631,963.9515
W0176,L03,239017.678,119508.598,945.4655
W0177,L03,239107.7184,119112.3126,967.754
W0178,L03,240772.2486,120242.3158,982.73
W0179,L04,239517.5076,119485.803,1003.7315
W0180,L04,239652.1301,119900.7384,1039.592
W0181,L04,239216.6865,119829.187,1025.6105
W0181,L03,239216.6865,119829.187,1025.6105
W0182,L04,240297.0965,119286.2523,1150.4495
W0183,L04,240025.9125,120429.831,1149.806
W0184,L04,,,
W0185,L04,,,
