well_id,layer_group,y_coordinate,x_coordinate,mean_perforation_depth,porosity,permeability,water_saturation
W0407,L07,239198.9268,120340.1686,1296.875,0.4275,43.56,0.3909979
W0408,L07,240737.4979,119841.2737,1339.2875,0.4025,34.43,0.3853013
W0410,L07,240719.1177,120616.2974,1349.291,0.4025,33.6,0.3918442
W0412,L07,240267.5679,118991.8386,1293.8915,0.4025,34.43,0.4006075
W0414,L07,240207.6078,121290.7406,1319.1635,0.4025,36.09,0.3945105
W0415,L07,240203.7403,121278.6294,1271.1935,0.4025,41.07,0.4677018
W0416,L07,240750.2455,119395.4236,1338.0005,0.415,32.77,0.3918533
W0419,L06,240373.5817,119746.4998,1244.81,0.365,17.83,0.5322026
W0420,L06,239844.6398,120063.3217,1253.5265,0.39,29.45,0.4818887
W0421,L06,240369.3387,120035.8102,1222.6385,0.3775,31.11,0.4860656
W0422,L06,239567.9023,119219.1879,1220.123,0.3775,31.11,0.5453885
W0423,L06,239598.3168,120027.0609,1211.933,0.4025,34.43,0.4954204
W0424,L06,239634.549,120640.1002,1218.485,0.39,36.09,0.5189075
W0425,L06,239281.9224,118990.5567,1217.315,0.4025,36.09,0.5255869
W0426,L06,239239.6377,119569.8542,1216.847,0.39,33.6,0.5463531
W0427,L06,239176.369,120156.1994,1219.2455,0.415,32.77,0.5577099
W0430,L08,239866.2373,119216.6305,1353.737,0.365,12.02,0.491562
W0431,L05,239301.2841,119343.5936,1192.511,0.3775,16.17,0.5839088
W0432,L05,239563.2212,119755.9999,1184.2625,0.3775,15.34,0.5219287
W0433,L05,239553.0099,120217.8443,1184.3795,0.39,17.83,0.5140663
W0434,L05,239490.6065,120603.947,1151.9705,0.39,19.49,0.5068591
W0435,L05,239945.1657,120021.7533,1184.438,0.3775,12.02,0.5261238
W0436,L05,240037.9224,118866.3797,1207.6625,0.3775,13.68,0.5305009
W0437,L05,240472.3151,119382.3547,1208.423,0.4025,22.81,0.458347
W0438,L05,240131.0105,118438.2472,1210.4705,0.39,19.49,0.5143575
W0439,L05,240487.2112,118825.6994,1216.847,0.4025,20.32,0.4710233
W0440,L05,240521.8441,120742.6657,1214.858,0.3775,17,0.4937824
W0441,L08,240609.5943,121469.2683,1345.547,0.4025,43.56,0.3883134
W0442,L07,239918.6118,119487.1922,1289.7965,0.415,33.6,0.379268
W0443,L07,241073.1362,120280.5327,1313.6645,0.4025,27.79,0.390006
W0444,L07,240233.2173,120669.5409,1333.0865,0.39,29.45,0.3899059
W0445,L07,240626.7013,118962.123,1302.374,0.415,37.75,0.379541
W0447,L07,239325.8698,119892.1592,1292.9555,0.4025,34.43,0.418489
W0448,L07,240283.0574,118414.7019,1284.005,0.4025,30.28,0.4974315
W0449,L07,239818.567,118199.2561,1286.462,0.415,35.26,0.3787402
W0450,L07,239417.5892,118376.827,1294.2425,0.415,40.24,0.4027005
W0451,L07,240600.9381,121048.1869,1338.4685,0.39,23.64,0.4210916
W0455,L03,239741.3039,119052.3337,927.9155,0.44,46.88,0.465718
W0457,L07,241651.0303,122673.0066,1527.014,0.365,27.79,0.657
W0460,L10,241713.9033,118935.3342,1589.258,0.365,32.77,0.4946833
W0461,L10,240905.6777,123390.5609,1567.4375,0.365,15.34,0.5900422
W0468,L11,240009.3474,119335.4258,1568.432,0.3775,35.26,0.4159501
W0471,L10,239674.9534,120756.5288,1519.5845,0.3525,18.66,0.492017
W0474,L10,239776.3488,119028.0541,1521.749,0.365,17.83,0.4886136
W0475,L10,239965.1166,119348.3463,1519.5845,0.365,19.49,0.4545887
W0476,L10,239543.378,119534.4244,1519.058,0.3775,23.64,0.4854559
W0479,L11,240211.9052,121791.6122,1590.896,0.365,44.39,0.453433
W0481,L10,240133.0062,122813.834,1553.105,0.3525,16.17,0.5254049
W0482,L10,239815.6714,118245.2628,1530.5942,0.3775,28.62,0.4524957
W0483,L11,240204.7993,119076.2013,1581.9455,0.365,26.13,0.4462076
W0485,L10,239498.9992,118495.6625,1529.4125,0.365,25.3,0.4748271
W0487,L10,239810.6923,121997.7838,1538.1875,0.4025,36.09,0.4384635
W0491,L11,239336.9841,119977.6942,1520.8715,0.39,37.75,0.4377719
W0492,L09,240094.0911,119944.7149,1432.7705,0.3025,18.66,0.5701223
W0493,L09,240142.3213,119235.7236,1457.399,0.3275,28.62,0.5253594
W0496,L09,239383.2092,121142.5322,1529.7635,0.3525,26.13,0.4771476
